geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1037,15.9129,79.74,Akkarampalle,Andhra Pradesh
1046,15.9129,79.74,Akkarampalle,Andhra Pradesh
1041,15.9129,79.74,Akkarampalle,Andhra Pradesh
1035,15.9129,79.74,Akkarampalle,Andhra Pradesh
1012,15.9129,79.74,Akkarampalle,Andhra Pradesh
1047,15.9129,79.74,Akkarampalle,Andhra Pradesh
1013,15.9129,79.74,Akkarampalle,Andhra Pradesh
1029,15.9129,79.74,Akkarampalle,Andhra Pradesh
1011,15.9129,79.74,Akkarampalle,Andhra Pradesh
1032,15.9129,79.74,Akkarampalle,Andhra Pradesh
1014,15.9129,79.74,Akkarampalle,Andhra Pradesh
1039,15.9129,79.74,Akkarampalle,Andhra Pradesh
1024,15.9129,79.74,Akkarampalle,Andhra Pradesh
1009,15.9129,79.74,Akkarampalle,Andhra Pradesh
1020,15.9129,79.74,Akkarampalle,Andhra Pradesh
1043,15.9129,79.74,Akkarampalle,Andhra Pradesh
1050,15.9129,79.74,Akkarampalle,Andhra Pradesh
1045,15.9129,79.74,Akkarampalle,Andhra Pradesh
1007,15.9129,79.74,Akkarampalle,Andhra Pradesh
1005,15.9129,79.74,Akkarampalle,Andhra Pradesh
1017,15.9129,79.74,Akkarampalle,Andhra Pradesh
1019,15.9129,79.74,Akkarampalle,Andhra Pradesh
1027,15.9129,79.74,Akkarampalle,Andhra Pradesh
1033,15.9129,79.74,Akkarampalle,Andhra Pradesh
1006,15.9129,79.74,Akkarampalle,Andhra Pradesh
1034,15.9129,79.74,Akkarampalle,Andhra Pradesh
1042,15.9129,79.74,Akkarampalle,Andhra Pradesh
1040,15.9129,79.74,Akkarampalle,Andhra Pradesh
1026,15.9129,79.74,Akkarampalle,Andhra Pradesh
1036,15.9129,79.74,Akkarampalle,Andhra Pradesh
1048,15.9129,79.74,Akkarampalle,Andhra Pradesh
1002,15.9129,79.74,Akkarampalle,Andhra Pradesh
1031,15.9129,79.74,Akkarampalle,Andhra Pradesh
1022,15.9129,79.74,Akkarampalle,Andhra Pradesh
1008,15.9129,79.74,Akkarampalle,Andhra Pradesh
1010,15.9129,79.74,Akkarampalle,Andhra Pradesh
1003,15.9129,79.74,Akkarampalle,Andhra Pradesh
1001,15.9129,79.74,Akkarampalle,Andhra Pradesh
1015,15.9129,79.74,Akkarampalle,Andhra Pradesh
1038,15.9129,79.74,Akkarampalle,Andhra Pradesh
1016,15.9129,79.74,Akkarampalle,Andhra Pradesh
